qid,lens,defect,defect_class,severity,action,note
2014h26a-q096,L4_verify_figure_missing,true,figure_missing,critical,add_figure,page-46に表2平均点標準偏差実在(y30-52%)。未裁剪。
2014h26a-q099,L4_verify_figure_missing,true,figure_missing,critical,add_figure,page-50に図1実績表+図2DB構造4テーブル実在(y28-85%)。固有図。path=null。
2015h27a-q085,L4_verify_figure_missing,true,figure_missing,critical,add_figure,page-36上部(y2-38%)に図1ワークシート実在。has_figure=false誤り。
2015h27a-q087,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,q085所有の図1参照。
2015h27a-q089,L4_verify_figure_missing,true,figure_missing,critical,add_figure,page-40上部(y15-45%)に図1ワークシート実在。has_figure=false誤り。
2015h27a-q090,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,q089所有の同ページ共有図参照。
2015h27a-q091,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,q089所有のpage-40共有図参照。
2015h27a-q094,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有アローダイアグラム(page-42)。
2015h27a-q095,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有アローダイアグラム(page-42)。
2015h27a-q096,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有アローダイアグラム(page-42)。
2015h27h-q085,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問A共有図1 3表(page-33)。ただしstem呼称(社員表/部署表)が原本表名と不一致の疑い→要追跡(Phase C)。
2015h27h-q088,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問A共有図1(page-33)。
2015h27h-q089,L4_verify_figure_missing,true,figure_missing,critical,add_figure,"page-38に図1アローダイアグラム実在(単問,q089固有)。has_figure=false,path=null。"
2015h27h-q093,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有図1損益分析WS(page-41)。q094と共有。
2015h27h-q094,L4_verify_figure_missing,true,stem_choice_mismatch,critical,flag_for_user,choices イ『B2÷(1-B1)』が正答 エ『B2/(1-B1)』と実質同義。原本page-42の選択肢イは別式(B2*(1-B1)等)のOCR/転記ミス疑い。要原本再照合。
2015h27h-q099,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問D共有表1(page-44)。包除原理で正答85整合。
2019r01a-q096,L4_verify_figure,true,has_figure_orphan,minor,demote_has_figure,page-41問96はテキスト選択問題、固有図なし。has_figure=true誤り。
2021r03-q001,L4_verify_figure,true,has_figure_orphan,minor,demote_has_figure,page-02問1はテキスト問題。『E-R図』は本文用語で掲載図なし。has_figure=true誤り。
2024r06-q053,L4_verify_figure,true,has_figure_orphan,minor,demote_has_figure,page-23問53はテキスト穴埋め。空欄□を図と誤認。has_figure=true誤り。
2009h21a-q088,L_dupscan,true,duplicate_extraction,critical,flag_for_user,真の問88=DBロック/排他制御(page-31)。stem+choices+answer全てq068(アプレット)の複製。答案ウもq068承継。要全文再抽出+answer_keysから正答復元。
2010h22a-q008,L_dupscan,true,duplicate_extraction,critical,flag_for_user,"真の問8=初期投資額回収年数比較(表あり,page-05)。stem+choices=q006(ワークフロー)の複製。答案イ(q006=ア)。要全文再抽出+answer_keys正答復元+has_figure再判定。"
2015h27a-q059,L_dupscan,true,choice_swap,critical,flag_for_user,stem=バイオメトリクス認証(一致)だが choices ア↔イ が原本と逆転。原本ア=複製許容量、イ=ID/カード不要。記録正答イ→実際はア(原本)の疑い。要原本page-24再照合+choices/answer修正。
2022r04-q017,L_dupscan,true,choice_ocr,minor,flag_for_user,choices エ末尾に別問冒頭『問8 インダストリー4.9...』混入。stem正常。choices境界OCR。
2014h26a-q009,L_dupscan,true,choice_ocr,minor,flag_for_user,choices エ末尾切断『と 4 si』。stem正常。
2019r01a-q049,L_dupscan,true,choice_ocr,minor,flag_for_user,choices イ短縮(プロトタイピング説明が一語に)。stem正常。
